MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
999000009,2018-04-22T23:57:45,29.11898,-89.26414,9.0,21.2,20.0,SYN-VESSEL-09,,,,0,,,,,A
999000009,2018-04-22T23:59:45,29.12359,-89.26222,8.6,21.6,20.0,SYN-VESSEL-09,,,,0,,,,,A
999000028,2018-04-22T18:34:16,28.77805,-89.23644,7.9,308.0,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:32:16,28.77456,-89.23320,8.3,325.8,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:37:05,28.78186,-89.24157,5.9,308.4,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:40:05,28.78280,-89.24371,1.4,241.4,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:43:35,28.78302,-89.24302,0.1,179.6,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:45:55,28.78305,-89.24309,0.1,332.5,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:44:45,28.78302,-89.24304,0.7,141.1,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:30:16,28.77058,-89.23041,8.5,327.9,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:27:45,28.76559,-89.22687,8.4,325.9,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:26:36,28.76331,-89.22526,8.2,327.9,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:23:05,28.75873,-89.22255,3.8,353.2,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:25:25,28.76114,-89.22377,6.7,329.5,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:21:55,28.75766,-89.22208,3.6,342.5,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:19:05,28.75484,-89.22150,3.6,355.7,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:20:46,28.75656,-89.22177,3.9,0.3,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
999000028,2018-04-22T18:17:55,28.75352,-89.22173,4.2,50.7,511.0,SYN-VESSEL-28,IMO9990028,SYN028,90,0,58,12,4.7,79,A
